metric,step,mean,std,median,count
answer_f1,0,0.3620506452524108,0.4246511816290662,0.0,3564
answer_f1,1,0.2153303824796227,0.36131003481834767,0.0,3564
answer_f1,2,0.19050793827884957,0.3445500623304633,0.0,3564
answer_f1,3,0.17682900039375612,0.3353601542284183,0.0,3564
openfactscore,1,0.8633391484176134,0.12240891308235849,0.8962264150943396,3564
openfactscore,2,0.8485404453888239,0.1308579668267007,0.8823529411764706,3564
openfactscore,3,0.8379909415104789,0.13569484928131997,0.8716117216117216,3564
bertscore_baseline,1,0.8533180317393055,0.043976142479456845,0.8518040180206299,3564
bertscore_baseline,2,0.8449020473041919,0.03870599366338352,0.8439747095108032,3564
bertscore_baseline,3,0.8407422007300904,0.03607528977781314,0.8408350944519043,3564
bertscore_consecutive,1,0.8533180317393055,0.043976142479456845,0.8518040180206299,3564
bertscore_consecutive,2,0.9378945853239224,0.030294796961126597,0.9422501623630524,3564
bertscore_consecutive,3,0.9524467743172255,0.026749978525534596,0.9580191075801849,3564
bleurt_baseline,1,0.39745350542460495,0.1279657270091057,0.37504035234451294,3564
bleurt_baseline,2,0.3706842257518961,0.11313227736662533,0.3507320284843445,3564
bleurt_baseline,3,0.35772676556031446,0.10468769199255933,0.34121400117874146,3564
bleurt_consecutive,1,0.39745350542460495,0.1279657270091057,0.37504035234451294,3564
bleurt_consecutive,2,0.6364883057538976,0.12272819218785154,0.6511364579200745,3564
bleurt_consecutive,3,0.677022308153001,0.11296704290740604,0.68975630402565,3564
bleurt_answer,1,0.30415165393238025,0.27132873592282725,0.2034443318843841,3353
bleurt_answer,2,0.2887802732973249,0.2601777262619948,0.1957424134016037,3349
bleurt_answer,3,0.28094932280335644,0.25730024984893984,0.1911011636257171,3335
n_tokens,0,2445.023569023569,543.9650817005767,2340.0,3564
n_tokens,1,664.6141975308642,437.6724767342713,652.0,3564
n_tokens,2,535.2873176206509,346.38412054169805,494.0,3564
n_tokens,3,479.0263748597082,312.0030978497708,427.0,3564
