metric,contrast,n_qid,delta_mean,rank_biserial,p_raw,p_holm
answer_f1,step0_to_1,297,-0.14672026277278813,-0.43138205470044033,2.504143851322376e-08,7.512431553967128e-08
answer_f1,step1_to_2,297,-0.024822444200773106,-0.45382156349898284,8.596740371801016e-08,1.7193480743602032e-07
answer_f1,step2_to_3,297,-0.013678937885093452,-0.28660273176402207,0.0007215642242223948,0.0007215642242223948
openfactscore,step1_to_2,297,-0.01479870302878952,-0.6231667909520259,1.2970000689327622e-20,2.5940001378655244e-20
openfactscore,step2_to_3,297,-0.010549503878345022,-0.5560075023162272,9.958630936406395e-17,9.958630936406395e-17
bertscore_baseline,step1_to_2,297,-0.00841598443511359,-0.9882945788986057,2.5562589002125317e-49,5.1125178004250634e-49
bertscore_baseline,step2_to_3,297,-0.004159846574101517,-0.9589632341310194,1.5412447020900122e-46,1.5412447020900122e-46
bertscore_consecutive,step1_to_2,297,0.08457655358461687,1.0,1.8832162645600487e-50,3.7664325291200973e-50
bertscore_consecutive,step2_to_3,297,0.014552188993303062,0.9697195670350033,1.5063761985378113e-47,1.5063761985378113e-47
bleurt_baseline,step1_to_2,297,-0.026769279672708843,-0.9158475131629494,1.3308155555821386e-42,2.6616311111642772e-42
bleurt_baseline,step2_to_3,297,-0.012957460191581656,-0.7562651119698099,1.364044673710274e-29,1.364044673710274e-29
