statistic,estimate,ci_lo,ci_hi,B
mean_F1_step0,0.3620506452524108,0.3144184253805855,0.4108323544859069,10000
mean_F1_step1,0.2153303824796227,0.18738267502736258,0.24406379190308478,10000
mean_F1_step2,0.1905079382788496,0.1645058990907987,0.21714443761119506,10000
mean_F1_step3,0.17682900039375612,0.15165169022177138,0.20351076602066434,10000
delta_F1_step0_to_1,-0.14672026277278813,-0.19034414426589838,-0.1033930523657187,10000
delta_F1_step1_to_2,-0.024822444200773106,-0.033670790985910797,-0.01606970872005785,10000
delta_F1_step2_to_3,-0.013678937885093452,-0.021247201724079276,-0.006235858818325485,10000
delta_F1_step0_to_3,-0.18522164485865467,-0.22973471572262766,-0.14149400565973594,10000
delta_OFS_step1_to_2,-0.01479870302878952,-0.017808120041233937,-0.01181505777640248,10000
delta_OFS_step2_to_3,-0.010549503878345022,-0.013190442745005105,-0.007858060934091486,10000
delta_OFS_step1_to_3,-0.02534820690713454,-0.028934367731231293,-0.021768149713013375,10000
recovery_rate_09,0.11222222222222222,0.08222222222222222,0.145,10000
recovery_rate_05,0.14222222222222222,0.10833333333333334,0.17777777777777778,10000
recovery_rate_any,0.21888888888888888,0.1761111111111111,0.2633333333333333,10000
delta_BERT_consecutive_step1_to_2,0.08457655358461687,0.08044069086595551,0.0887294482565187,10000
