stratum,duration_steps,survival_prob,ci_lo,ci_hi
ALL,0.0,1.0,1.0,1.0
ALL,1.0,0.7128712871287127,0.6451119256637103,0.7700228657386732
ALL,2.0,0.5773668275918501,0.5030609204640081,0.6445931292399069
ALL,3.0,0.5773668275918501,0.5030609204640081,0.6445931292399069
elaborate,0.0,1.0,1.0,1.0
elaborate,1.0,0.6984126984126984,0.5688711826344406,0.7958046733625662
elaborate,2.0,0.48677248677248675,0.34702560877506045,0.6127738043449167
elaborate,3.0,0.48677248677248675,0.34702560877506045,0.6127738043449167
formality,0.0,1.0,1.0,1.0
formality,1.0,0.7333333333333334,0.5784659113644866,0.838835621637676
formality,2.0,0.5703703703703704,0.4047234907578401,0.7057367469224062
formality,3.0,0.5703703703703704,0.4047234907578401,0.7057367469224062
paraphrase,0.0,1.0,1.0,1.0
paraphrase,1.0,0.769230769230769,0.6295605060181433,0.8617781517007203
paraphrase,2.0,0.6623931623931624,0.5133417521149001,0.7753572079004067
paraphrase,3.0,0.6623931623931624,0.5133417521149001,0.7753572079004067
shorten,0.0,1.0,1.0,1.0
shorten,1.0,0.6428571428571428,0.47906561468317754,0.7669995717955221
shorten,2.0,0.5914285714285715,0.42708767572834483,0.7230785773955996
shorten,3.0,0.5914285714285715,0.42708767572834483,0.7230785773955996
