qid,group,instruction_type,run,step,instruction_used,n_facts,n_supported,n_not_supported,n_contradicted,init_score,factscore,bert_precision,bert_recall,bert_f1
2hop__635544_110949,content,elaborate,0,1,"Elaborate on the content, adding relevant details while staying faithful to the source text.",196,178,12,6,0.9081632653061223,0.9081632653061223,0.9006158113479614,0.9004999995231628,0.9005579352378845
2hop__635544_110949,content,elaborate,0,2,"Elaborate on the content, adding relevant details while staying faithful to the source text.",197,176,14,7,0.8934010152284264,0.8934010152284264,0.8831732273101807,0.8819631338119507,0.882567822933197
2hop__635544_110949,content,elaborate,0,3,,186,164,14,8,0.8817204301075269,0.8817204301075269,0.8701935410499573,0.8687887191772461,0.8694906234741211
2hop__635544_110949,content,shorten,0,1,Make wording more concise.,52,47,0,5,0.903846153846154,0.903846153846154,0.8019554615020752,0.8013383150100708,0.8016467094421387
2hop__635544_110949,content,shorten,0,2,Make wording more concise.,44,39,1,4,0.8863636363636364,0.8863636363636364,0.7896612882614136,0.7905784845352173,0.7901195883750916
2hop__635544_110949,content,shorten,0,3,,38,32,1,5,0.8421052631578947,0.8421052631578947,0.776557207107544,0.7760261297225952,0.7762916088104248
2hop__635544_110949,style,formality,0,1,Make the text more formal.,232,214,9,9,0.9224137931034484,0.9224137931034484,0.9424605369567871,0.9407593607902527,0.9416091442108154
2hop__635544_110949,style,formality,0,2,Make the text more formal.,192,176,6,10,0.9166666666666666,0.9166666666666666,0.9206171035766602,0.9191265106201172,0.9198712110519409
2hop__635544_110949,style,formality,0,3,,164,147,6,11,0.8963414634146342,0.8963414634146342,0.8821242451667786,0.8861491680145264,0.8841321468353271
2hop__635544_110949,style,paraphrase,0,1,Paraphrase this.,138,129,2,7,0.9347826086956522,0.9347826086956522,0.9118164777755737,0.9106167554855347,0.9112161993980408
2hop__635544_110949,style,paraphrase,0,2,Paraphrase this.,104,94,3,7,0.903846153846154,0.903846153846154,0.842540979385376,0.8424213528633118,0.8424811959266663
2hop__635544_110949,style,paraphrase,0,3,,100,85,5,10,0.85,0.85,0.8351062536239624,0.8320667743682861,0.8335837125778198
